CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
10283,PSYC,891,1,,Advanced Clerkship,0,8:30 AM - 10:00 AM,M,"Voytenko, Vitaliy L.",BGC M209,,
10284,PSYC,891,2,,Advanced Clerkship,0,8:30 AM - 10:00 AM,M,"Roth, Alana M.",BGC 002,,
10285,PSYC,892,1,,Advanced Clerkship II,0,8:30 AM - 10:00 AM,M,"Voytenko, Vitaliy L.",BGC M209,,
10286,PSYC,892,2,,Advanced Clerkship II,0,8:30 AM - 10:00 AM,M,"Roth, Alana M.",BGC 002,,
10287,PSYC,894,1,,Clerkship,0,8:30 AM - 10:00 AM,M,"Voytenko, Vitaliy L.",BGC M209,,
10288,PSYC,894,2,,Clerkship,0,8:30 AM - 10:00 AM,M,"Roth, Alana M.",BGC 002,,
10289,PSYC,895,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
10290,PSYC,896,0,,Clinical Internship,0,TBA,,STAFF,,,
10291,PSYC,898,1,,Clinical Dissertation,1 TO 4,TBA,,STAFF,,,
10292,PSYC,899,0,,Clinical Dissertation Contin,0,TBA,,STAFF,,50,
10293,PSYC,991,0,,Comprehensive Exam,0,TBA,,"Kahn, Ted",,,
10294,PSYC,992,0,,Professional Qualifying Exam,0,TBA,,"Kahn, Ted",,,
10296,PSYC,999,0,,Disseration Continuation-PT,0,TBA,,STAFF,,50,
10300,COMM,101,3,A,Public Speaking,2,11:15 AM - 1:05 PM,T R,"Robbins, Kelley K.",BGC 011,,COMP
10301,COMM,101,4,B,Public Speaking,2,11:15 AM - 1:05 PM,T R,"Robbins, Kelley K.",BGC 011,,COMP
10302,COMM,101,5,B,Public Speaking,2,8:30 AM - 10:20 AM,T R,"Bell, Kailey B.",BGC 011,,COMP
10303,COMM,101,6,A,Public Speaking,2,11:35 AM - 12:45 PM,M W F,"Mangin, Katy A.",BGC 011,,COMP
10304,COMM,101,7,A,Public Speaking,2,12:55 PM - 2:05 PM,M W F,"Mangin, Katy A.",BGC 011,,COMP
10305,COMM,101,8,B,Public Speaking,2,12:55 PM - 2:05 PM,M W F,"Mangin, Katy A.",BGC 011,,COMP
10306,COMM,101,9,A,Public Speaking,2,2:15 PM - 3:25 PM,M W F,"Liu, Esther H.",BGC 011,,COMP
10307,COMM,101,10,B,Public Speaking,2,2:15 PM - 3:25 PM,M W F,"Liu, Esther H.",BGC 011,,COMP
10308,COMM,101,11,A,Public Speaking,2,11:35 AM - 12:45 PM,M W F,"Schuchardt, Read M",BGC 010,,COMP
10309,COMM,101,12,B,Public Speaking,2,11:35 AM - 12:45 PM,M W F,"Schuchardt, Read M",BGC 011,,COMP
10310,COMM,101,13,A,Public Speaking,2,6:30 PM - 10:00 PM,R,"Rorvik, John G.",BGC 011,,COMP
10311,COMM,101,14,B,Public Speaking,2,6:30 PM - 10:00 PM,R,"Rorvik, John G.",BGC 011,,COMP
10312,COMM,101,1,A,Public Speaking,2,1:15 PM - 3:05 PM,T R,"Robbins, Kelley K.",BGC 011,,COMP
10313,COMM,101,2,B,Public Speaking,2,1:15 PM - 3:05 PM,T R,"Robbins, Kelley K.",BGC 011,,COMP
10314,COMM,171,0,A,Intro to Acting,2,8:30 AM - 10:20 AM,T R,"Bell, Kailey B.",JENKS STZN,,VPAT
10315,COMM,201,0,,Fundmntls Oral Communication,4,8:30 AM - 10:20 AM,T R,"Hill, Theon E.",BGC 010,,COMP
10316,COMM,219,0,,Journalism Co-Curricular,0,TBA,,"Morgan, Timothy C.",,,
10317,COMM,221,0,,Interpersonal Comm,4,9:20 AM - 10:30 AM,M W F,"Liu, Esther H.",BGC 010,,
10319,COMM,246,0,,Media Production,4,8:30 AM - 10:20 AM,T R,"Park, Joonhee",ADAMS 311,,
10320,COMM,272,0,,Scenography,4,11:15 AM - 1:05 PM,T R,"Stauffer, Michael E.",JENKS 103,,
10321,COMM,273,0,,Acting I,4,11:15 AM - 1:05 PM,T R,"Mangin, Andrew P.",JENKS STZN,,
10322,COMM,296,0,,Journalism Practicum,2 TO 4,TBA,,"Morgan, Timothy C.",,,
10325,COMM,311,0,,Human Communication Research,4,1:15 PM - 3:05 PM,T R,"Sietman, Rebecca B",BGC 010,,SI
10326,COMM,312,0,,Communication Criticism,4,6:30 PM - 10:00 PM,W,"Hill, Theon E.",BGC 134,,
10328,COMM,363,0,,Persuasion,4,9:20 AM - 10:30 AM,M W F,"Langan, Emily J.",BGC 263,,SI
10329,COMM,373,0,,Theater Workout,0 OR 1,4:15 PM - 5:30 PM,T R,"Lewis, Mark N.",JENKS STZN,,
10331,COMM,393,0,,Intercollegiate Debate,0 OR 1,TBA,,"Sietman, Rebecca B.",,,
10333,COMM,424,0,A,Family Communication,2 OR 4,11:35 AM - 12:45 PM,M W F,"Langan, Emily J.",BGC 263,,
10334,COMM,454,0,,Political Style,2 OR 4,1:15 PM - 3:05 PM,T R,"Hill, Theon E.",BGC 263,,
10335,COMM,494,0,A,Senior Seminar,2,2:15 PM - 3:25 PM,M W F,"Chase, Kenneth R.",BGC 263,,
10336,COMM,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
10337,COMM,496,0,,Internship,2 TO 4,TBA,,STAFF,,,
10338,COMM,498,0,,Journalism internship,2 OR 4,TBA,,"Morgan, Timothy C.",,,
10339,EDUC,135,0,A,School & Society,2,11:35 AM - 12:45 PM,M W F,"Jonas, Mark E.",BLANCH 139,,
10340,EDUC,136,0,B,Teaching Diverse Students,2,11:35 AM - 12:45 PM,M W F,"Vroom Fick, Sara J.",BLANCH 139,,
10341,EDUC,136L,0,,Cross-cultural Tutoring,1,TBA,,"Vroom Fick, Sara J.",,,
10342,EDUC,225,0,,Psych & Dev Contexts of Educ,4,11:15 AM - 1:05 PM,T R,"Kim, Il-Hee",JENKS 204,,
10343,EDUC,225L,0,,Teacher Aiding Practicum,1,TBA,,Kim & Felker,,,
10344,EDUC,305,0,A,Learning Differences,2,8:00 AM - 9:20 AM,M W F,"Boehm, Thomas L.",,,
10345,EDUC,305L,0,,Learning Differences Practicum,1,TBA,,"Boehm, Thomas L.",,,
10346,EDUC,306,0,,Classroom Comm & Curr Int,4,1:15 PM - 3:05 PM,T R,"Eckert, Jonathan M.",BLANCH 455,,
10347,EDUC,311,1,,General Elem Middle Methods,2,8:20 AM - 10:20 AM,R,"Eckert, Jonathan M.",BLANCH 472,15,
10348,EDUC,311,2,,General Elem Middle Methods,2,11:05 AM - 1:05 PM,R,"Eckert, Jonathan M.",BLANCH 472,15,
10349,EDUC,311L,0,,General Methods Practicum,1,TBA,,Lederhouse & Vroom Fick,50,,
10350,EDUC,312,1,,Rdg in Elem and Middle School,4,8:30 AM - 10:30 AM,M   F,"Morrison, Sally E.",BLANCH 472,,
10351,EDUC,312,2,,Rdg in Elem and Middle School,4,11:35 AM - 1:35 PM,M   F,"Morrison, Sally E.",BLANCH 472,,
10352,EDUC,315,1,,Elem/MS Math Methods,4,8:20 AM - 10:20 AM,T R,"Lederhouse, Jillian",BLANCH 455,,
10353,EDUC,315,2,,Elem/MS Math Methods,4,11:05 AM - 1:05 PM,T R,"Lederhouse, Jillian",BLANCH 455,,
10354,EDUC,317,1,,Elem/Midl:Lang Arts,2,8:30 AM - 10:30 AM,M,"Beitler, Brita E.",BLANCH 455,,
10355,EDUC,317,2,,Elem/Midl:Lang Arts,2,11:35 AM - 1:35 PM,M,"Beitler, Brita E.",BLANCH 455,,
10358,EDUC,324L,0,,Middle/HS:Meth Pract,1,TBA,,Lederhouse & Vandermeulen,50,,
10359,EDUC,328,0,,Cross-Categorical Characterist,4,12:55 PM - 2:05 PM,M W F,"Boehm, Thomas L.",MSC 105,,
10360,EDUC,328L,0,,LBS Practicum I-A,1,TBA,,"Boehm, Thomas L.",,,
10363,EDUC,405L,0,,Middle Grade Practicum,1,TBA,,"Morrison, Sally E.",,,
10364,EDUC,494,0,,Senior Seminar:Secondary,2,6:30 PM - 8:30 PM,T,"Jonas, Mark E.",BLANCH 472,300,
10365,EDUC,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
10367,EDUC,497,0,B,"Philosophy of EducationMeets on campus Apr 15-19, 29; atHR Apr 22-26",3,12:50 PM - 3:20 PM,MTWRF,"Jonas, Mark E.",JENKS 206,175,
10368,EDUC,498,0,,Literacy Assessment,2,8:30 AM - 10:20 AM,R,"Morrison, Sally E.",MSC 124,,
10369,EDUC,505L,0,,Learning Differences Practicum,0,TBA,,"Boehm, Thomas L.",,,
10370,EDUC,506,0,,Classroom Comm & Curr Int,4,1:15 PM - 3:05 PM,T R,"Eckert, Jonathan M.",BLANCH 455,,
10371,EDUC,511,0,,Elem/Middle Methods,2,11:05 AM - 1:05 PM,R,"Eckert, Jonathan M.",BLANCH 455,15,
