CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
80250,CORE,101,13,,FYS-The Suburban Good Life,4,8:30 AM - 10:20 AM,T R,"Miller, Brian J.",BLANCH 440,,
80253,PHIL,101,1,,Introduction to Philosophy,4,3:15 PM - 5:05 PM,T R,"Wood, W. Jay",BLANCH 125,,PI
80254,PHIL,101,2,,Introduction to Philosophy,4,9:20 AM - 10:30 AM,M W F,"Gordon, James R.",BLANCH 125,,PI
80255,PHIL,101,3,,Introduction to Philosophy,4,12:55 PM - 2:05 PM,M W F,"Fletcher, David B.",BLANCH 125,,PI
80257,PHIL,101,5,,Introduction to Philosophy,4,8:00 AM - 9:10 AM,M W F,"Gordon, James R.",BLANCH 125,,PI
80258,PHIL,216,0,A,Philosophy of The Arts,2,6:30 PM - 10:00 PM,T,"McNutt, David W.",BLANCH 125,,
80259,PHIL,241,0,,Suffering,4,11:15 AM - 1:05 PM,T R,"Talbot, Mark R.",BLANCH 125,,PI
80260,PHIL,243,0,A,Intro To Logic,2,9:20 AM - 10:30 AM,M W F,"O'Connor, Robert C.",BLANCH 139,,
80261,PHIL,245,0,,Logic,4,9:20 AM - 10:30 AM,M W F,"O'Connor, Robert C.",BLANCH 139,,AAQR
80263,PHIL,311,0,,Hist Of Philosophy,4,11:35 AM - 12:45 PM,M W F,"Wood, Adam N.",BLANCH 339,,
80264,PHIL,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80265,PHIL,496,0,,Internship,2 OR 4,TBA,,STAFF,,,
80266,CORE,101,14,,FYS-Why Do We Suffer?,4,11:35 AM - 12:45 PM,M W F,"Borden, Sarah R.",BLANCH 323,,
80267,CORE,101,15,,FYS-Why Do We Suffer?,4,12:55 PM - 2:05 PM,M W F,"Borden, Sarah R.",BLANCH 472,,
80268,PHIL,105,1,,Race & Justice,4,11:15 AM - 1:05 PM,T R,"Cartagena, Nathan L.",JENKS 205,,"DUS, PI"
80269,PHIL,105,2,,Race & Justice,4,8:30 AM - 10:20 AM,T R,"Cartagena, Nathan L.",MSC 103,,"DUS, PI"
80272,PHIL,255,1,,Existentialism,4,8:30 AM - 10:20 AM,T R,"Kemp, Ryan S.",BLANCH 124,,"LE, PI"
80282,B EC,226,1,,Prin Of Accountng I,4,11:15 AM - 1:05 PM,T R,"Tomal, Annette H.",MSC 124,,
80283,B EC,226,2,,Prin Of Accountng I,4,1:15 PM - 3:05 PM,T R,"Tomal, Annette H.",MSC 124,,
80284,B EC,229,0,B,Mgmt Info Systems,2,11:15 AM - 1:05 PM,T R,"Johnson, Stephen D.",MEY 133,,
80285,B EC,341,1,,Principles of Marketing,4,9:20 AM - 10:30 AM,M W F,"Stolze, Hannah J.",BGC 134,,
80286,B EC,341,2,,Principles of Marketing,4,12:55 PM - 2:05 PM,M W F,"Stolze, Hannah J.",BGC 134,,
80287,B EC,342,0,,Principles of Management,4,11:35 AM - 12:45 PM,M W F,"Lee, Min-Dong Paul",MSC 302,,
80289,B EC,367,1,,Principles of Finance,4,8:00 AM - 9:10 AM,M W F,"Norton, Seth W.",MSC 302,,
80290,B EC,367,2,,Principles of Finance,4,9:20 AM - 10:30 AM,M W F,"Norton, Seth W.",MSC 302,,
80293,B EC,493,1,,Business Strategy,2,8:30 AM - 10:20 AM,R,"Norton, Seth W.",MSC 304,,
80294,B EC,493,2,,Business Strategy,2,11:15 AM - 1:05 PM,R,"Norton, Seth W.",MSC 304,,
80295,B EC,494,1,,Business Seminar,2,8:30 AM - 10:20 AM,T,"Bretsen, Stephen N.",MSC 304,,
80296,B EC,494,2,,Business Seminar,2,11:15 AM - 1:05 PM,T,"Bretsen, Stephen N.",MSC 304,,
80298,B EC,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80299,B EC,496,0,,Internship,1 TO 4,TBA,,"Bretsen, Stephen N.",,,
80300,B EC,321,1,,Statistics,4,11:15 AM - 1:05 PM,T R,"Makaudze, Ephias M.",MSC 302,,
80302,B EC,382,1,A,"Digital MarketingPre-req:  B EC 341",2,6:30 PM - 10:00 PM,M,"Grant, Christopher J.",MSC 124,75,
80304,ECON,211,4,,Principles of Microeconomics,4,2:15 PM - 3:25 PM,M W F,"Forsstrom, Matthew P.",MSC 103,,SI
80305,ECON,211,3,,Principles of Microeconomics,4,12:55 PM - 2:05 PM,M W F,"Forsstrom, Matthew P.",MSC 103,,SI
80307,ECON,211,1,,Principles of Microeconomics,4,12:55 PM - 2:05 PM,M W F,"Cook, Jeremy A.",MSC 124,,SI
