Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
ECON,375,0,,Econometrics,4,12:55 PM - 2:05 PM,M W F,Makaudze\ Ephias M.,,
BITH,376,0,,Theologies of Transformation,4,6:30 PM - 10:00 PM,T,Lee\ Gregory W.,,SHAR
ANTH,376,0,,Culture Theory,4,8:30 AM - 10:20 AM,T R,Jeske\ Christine R.,,
B EC,377,0,,Marketing & Supply Chain Strat,4,11:35 AM - 12:45 PM,M W F,Stolze\ Hannah J.,,
HIST,377,0,,British History to 1688,4,12:55 PM - 2:05 PM,M W F,Harkrider\ Melissa,,
ECON,378,0,,Economics of Labor & Poverty,4,9:20 AM - 10:30 AM,M W F,Cook\ Jeremy A.,,DUS
IR,379,0,,Int'l Political Economy,4,9:20 AM - 10:30 AM,M W F,Taylor\ Timothy W.,,
B EC,380,0,,Comm Econ Dev't & Enterprise,4,TBA,,STAFF,,
URBN,380,0,,Comm Econ Dev't & Enterprise,4,TBA,,STAFF,,
AHS,381,0,,Concepts in Epidemiology,4,2:15 PM - 3:25 PM,M W F,Bubu\ O. Michael,,
ART,383,0,,Digital Photography I,3,12:55 PM - 3:55 PM,M W,Schreck\ Gregory H.,,
ENGL,383,0,B,Cormac McCarthy,2,11:35 AM - 12:45 PM,M W F,Bieber Lake\ Christina,,
BITH,383,0,A,Gender & Theology,2,6:30 PM - 10:00 PM,T,Jones\ Beth F.,,
PSCI,383,0,,Religion & American Politics,4,11:15 AM - 1:05 PM,T R,Garrett\ Kristin N.,,
SOC,383,0,,Statistics,4,11:15 AM - 1:05 PM,T R,Miller\ Brian J.,,AAQR
MUMS,385,0,,Applied Pedagogy I,2,TBA,,Bauer\ Elizabeth A.,96,
MATH,385,0,,MATLAB Modeling,4,12:55 PM - 2:05 PM,M W F,Isihara\ Paul,,
SOC,385,0,,Social Change,4,11:35 AM - 12:45 PM,M W F,Reynolds\ Amy M.,,GP\ SI
PSCI,389,0,,Campaigns and Elections,4,9:20 AM - 10:30 AM,M W F,Black\ Amy E.,,
COMM,393,0,,Intercollegiate Debate,0,TBA,,Sietman\ Rebecca B.,,
ECON,394,0,,Financial Economics,4,11:35 AM - 12:45 PM,M W F,Guo\ Nick L.,,
ENVR,395,0,,Independent Study-Envr Science,2 TO 4,TBA,,STAFF,25,
BITH,396,0,,Roman Catholic Theology,4,1:15 PM - 3:05 PM,T R,McGowin\ Emily H.,,
URBN,399,0,,Pre-field Preparation,0,TBA,,Anderson\ Jordan,,
ANTH,400,0,,Urban Europe,4,2:15 PM - 3:25 PM,M W F,Tooley\ Christa B.,,
MSCI,401,0,,The Army Officer,4,6:30 PM - 10:00 PM,R,Kurczak & Cartagena,,
HEBR,401,0,,Intermediate Hebrew,4,1:15 PM - 3:05 PM,T R,Buster\ Aubrey E.,,COMP
MUMS,421,0,,Honors Conducting,0 TO 1,TBA,,Hopper & Zimmerman,48,
C E,421,0,,Philosophy of Ministry,4,1:15 PM - 3:05 PM,T R,Setran\ David P.,,
ART,423,0,,Advanced Drawing,3,1:15 PM - 4:15 PM,T R,Lundin\ Cherith,,
COMM,424,0,B,Bargaining & Negotiation,2,11:15 AM - 1:05 PM,T R,Liu\ Esther H.,,
ART,425,0,,Advanced Studio,3,6:00 PM - 9:00 PM,M W,Lundin\ Cherith,,
MUMS,430,0,,Advanced Topics in Conducting,2,9:30 AM - 10:20 AM,T R,Trotter\ John W.,96,
PSYC,431,0,,Psychology of Human Sexuality,4,11:15 AM - 1:05 PM,T R,Sandlund\ Lisa M.,,
BITH,431,0,A,OT Criticism,2,6:30 PM - 10:00 PM,W,Hill\ Andrew E.,,
B EC,433,0,A,New Venture Strategy,2,1:15 PM - 3:05 PM,T R,Sveen\ David E.,,
MATH,441,0,,Algebra II,4,8:00 AM - 9:10 AM,M W F,Lovett\ Stephen T.,,
BITH,443,0,,Hebrew Exegesis: Isaiah,4,11:15 AM - 1:05 PM,T R,Schultz\ Richard L.,,
CSCI,445,0,,Analysis/Algorithms,4,12:55 PM - 2:05 PM,M W F,VanDrunen\ Thomas J.,,
PHIL,448,0,,Epistemology,4,1:15 PM - 3:05 PM,T R,Wood\ W. Jay,,
BITH,449,0,,OT Theology,4,6:30 PM - 10:00 PM,M,Schultz\ Richard L.,,
MUTC,451,0,,Advanced Composition,3,TBA,,Okpebholo\ Shawn E.,770,
AHS,452,0,,Applied Physiology,4,8:00 AM - 9:10 AM,M W F,Hunt\ Brian E.,,
PHIL,455,0,,Aquinas,4,12:55 PM - 2:05 PM,M W F,Wood\ Adam N.,,
CHEM,457,0,,Adv Analytcl Chem II,2,11:15 AM - 12:05 PM,T,Burden\ Daniel L.,,
SOC,460,0,B,Violence-Minority Communities,2,11:15 AM - 1:05 PM,T R,Allen\ Henry L.,,
CHEM,462,0,A,Advanced Biochemistry,2,2:15 PM - 3:25 PM,M W F,Eggimann\ Becky L.,,
MUMS,471,0,,Choral Methods,2,8:00 AM - 9:10 AM,M   F,Yi\ Gina J.,96,
MUMS,472,0,,Instrumental Methods,2,8:00 AM - 9:10 AM,M W,STAFF,96,
COMM,473,0,,Acting Shakespeare,4,11:15 AM - 1:05 PM,T R,Bell\ Kailey B.,,
COMM,474,0,,January Project,4,6:30 PM - 10:00 PM,W,Lewis\ Mark N.,,
