Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
GEL,211,0,NONE,Vocation Practicum,2 TO 4,7:00 PM - 9:00 PM,M,Haase\ Daniel T.,0,NONE
BITH,211,1,NONE,OT Lit & Interpretation,4,12:55 PM - 2:05 PM,M W F,Stanghelle\ Jason S.,0,SHAR
BITH,211,4,NONE,OT Lit & Interpretation,4,11:35 AM - 12:45 PM,M W F,Buster\ Aubrey E.,0,SHAR
BITH,211,6,NONE,OT Lit & Interpretation,4,9:20 AM - 10:30 AM,M W F,Walton\ John H.,0,SHAR
BITH,211,8,NONE,OT Lit & Interpretation,4,2:15 PM - 3:25 PM,M W F,Buster\ Aubrey E.,0,SHAR
ECON,211,1,NONE,Principles of Microeconomics,4,9:20 AM - 10:30 AM,M W F,Cook\ Jeremy A.,0,SI
ECON,211,2,NONE,Principles of Microeconomics,4,11:35 AM - 12:45 PM,M W F,Cook\ Jeremy A.,0,SI
GEOL,211,1,NONE,Exploring the Dynamic Earth,4,9:20 AM - 10:30 AM,M W F,Maneiro\ Kathryn A.,35,SP
GEOL,211,2,NONE,Exploring the Dynamic Earth,4,2:15 PM - 3:25 PM,M W F,Tagne\ Gilles V.,35,SP
ARCH,211,0,NONE,OT Archaeology,4,9:20 AM - 10:30 AM,M W F,Miglio\ Adam E.,0,NONE
BITH,211,7,NONE,OT Lit & Interpretation,4,6:30 PM - 10:00 PM,T,Higginbotham\ Lanc,0,SHAR
BITH,211,2,NONE,OT Lit & Interpretation,4,1:15 PM - 3:05 PM,T R,Master\ Daniel M.,0,SHAR
BITH,211,3,NONE,OT Lit & Interpretation,4,11:15 AM - 1:05 PM,T R,Hill\ Andrew E.,0,SHAR
BITH,211,5,NONE,OT Lit & Interpretation,4,8:30 AM - 10:20 AM,T R,Haydon\ Ronald E.,0,SHAR
ART,211,0,NONE,Painting I,3,1:15 PM - 4:15 PM,T R,Lundin\ Cherith,0,VPAV
MUIP,211,0,NONE,Private Lessons: Trombone,2 TO 4,TBA,BLANK,Saylor & Davis,770,NONE
ECON,212,1,A,Principles of Macroeconomics,2,9:20 AM - 10:30 AM,M W F,Hill\ Enoch S.,0,NONE
